,_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
0,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1527623577520033794,2022-05-20 12:13:37+00:00,"@pmrevolution India tried to follow a similar strategy but eventually had to decide on the ban. There’s no way we can increase this years yield. International community wasn’t happy with their decision since it disrupts global supply chain. With Pakistan also out, global impacts will be higher","@pmrevolution India tried to follow a similar strategy but eventually had to decide on the ban. There’s no way we can increase this years yield. International community wasn’t happy with their decision since it disrupts global supply chain. With Pakistan also out, global impacts will be higher",1527623577520033794,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",2,1,7,0,1527614107666780160,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.527620281237381e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'pmrevolution', 'id': 31536394, 'displayname': 'Pak Media Revolution', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/pmrevolution'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'pmrevolution', 'id': 31536394, 'displayname': 'Pak Media Revolution', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/pmrevolution'}]",,,,
1,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1527615425739378688,2022-05-20 11:41:13+00:00,"With Pakistan not being able to meet domestic wheat demand this year due to low crop yields, it will be interesting to see whether we - similar to our neighbors - will impose a ban on wheat exports, and what the implication of the same will be on our economy and the local market.","With Pakistan not being able to meet domestic wheat demand this year due to low crop yields, it will be interesting to see whether we - similar to our neighbors - will impose a ban on wheat exports, and what the implication of the same will be on our economy and the local market.",1527615425739378688,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",11,7,157,2,1527614107666780160,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.5276141076667802e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",,,,,
2,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1527614107666780160,2022-05-20 11:35:59+00:00,"#GlobalWarming and climate change have the biggest role to play in the current global food crisis. World over, crop yields have massively gone down. #RussiaUkraineWar not only disrupts supply chain, but causes shortfall of wheat globally since the two were major wheat exporters.","#GlobalWarming and climate change have the biggest role to play in the current global food crisis. World over, crop yields have massively gone down. #RussiaUkraineWar not only disrupts supply chain, but causes shortfall of wheat globally since the two were major wheat exporters.",1527614107666780160,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",16,20,340,3,1527614107666780160,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,"['GlobalWarming', 'RussiaUkraineWar']",
3,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1512873288183459842,2022-04-09 19:21:14+00:00,"Hand on heart for the National Anthem.
Whatever the outcome of today, here’s praying we dont stand on the wrong side of history. 
We put our faith in the members we elected to the assembly, here’s hoping they keep Pakistan before all else when voting.
Pakistan, may you prosper 🇵🇰","Hand on heart for the National Anthem.
Whatever the outcome of today, here’s praying we dont stand on the wrong side of history. 
We put our faith in the members we elected to the assembly, here’s hoping they keep Pakistan before all else when voting.
Pakistan, may you prosper 🇵🇰",1512873288183459842,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",38,117,1547,7,1512873288183459842,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
4,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1512550516399951878,2022-04-08 21:58:39+00:00,"I didn’t know this existed. This is incredible! 
https://t.co/lSmDqP5cdC 
brilliant job @dnoorani @QuaidSayBaatein","I didn’t know this existed. This is incredible! 
youtu.be/Ju2U4pZ7h0A 
brilliant job @dnoorani @QuaidSayBaatein",1512550516399951878,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",7,23,221,2,1512542915020849152,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://youtu.be/Ju2U4pZ7h0A'],['https://t.co/lSmDqP5cdC'],,,,1.5125429150208492e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'dnoorani', 'id': 167425027, 'displayname': 'Daniyal Noorani', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/dnoorani'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'QuaidSayBaatein', 'id': 1664846875, 'displayname': 'Quaid Say Baatain', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/QuaidSayBaatein'}]",,,,
5,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1512542915020849152,2022-04-08 21:28:27+00:00,"We are seeing a political crisis of this nature play out so closely &amp; first hand(social media) for the first time.
Its confusing for many.
It would be helpful for 🇵🇰 if someone made an animation explaining how Parliamentary governments work. An academic overview of whats going on","We are seeing a political crisis of this nature play out so closely &amp; first hand(social media) for the first time.
Its confusing for many.
It would be helpful for 🇵🇰 if someone made an animation explaining how Parliamentary governments work. An academic overview of whats going on",1512542915020849152,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",36,73,984,8,1512542915020849152,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
6,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1512484967598927874,2022-04-08 17:38:11+00:00,"@yousuf_rz Agreed.However, if they can have a vote to revisit their confidence in their choice of PM, I wish we(awaam) could have a say in whether we still have confidence in those representing us,given all the narratives surrounding these unusual circumstances. GE might have been more fair","@yousuf_rz Agreed.However, if they can have a vote to revisit their confidence in their choice of PM, I wish we(awaam) could have a say in whether we still have confidence in those representing us,given all the narratives surrounding these unusual circumstances. GE might have been more fair",1512484967598927874,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",6,5,57,0,1512479544489705476,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.5124795444897055e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'yousuf_rz', 'id': 56990899, 'displayname': 'Yousuf Raza', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/yousuf_rz'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'yousuf_rz', 'id': 56990899, 'displayname': 'Yousuf Raza', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/yousuf_rz'}]",,,,
7,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1512448643676385282,2022-04-08 15:13:51+00:00,"Pakistan..
Hurts to be a bystander in this political circus. This is our country too.
By not going for general elections, all we can do is sit and watch a select few decide Pakistan’s fate.. Are we really that helpless? 
Is every opposition going to bring down EVERY government?","Pakistan..
Hurts to be a bystander in this political circus. This is our country too.
By not going for general elections, all we can do is sit and watch a select few decide Pakistan’s fate.. Are we really that helpless? 
Is every opposition going to bring down EVERY government?",1512448643676385282,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",257,1847,9692,83,1512448643676385282,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
8,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1506241886285369347,2022-03-22 12:10:24+00:00,"@KhanNomi123 Ukraine was home to my family for nearly half a decade, as Diplomats representing the government of Pakistan.
Also, the implications of #UkraineRussiaWar are not local but global, and prolonging of the same can be disastrous for the entire world.","@KhanNomi123 Ukraine was home to my family for nearly half a decade, as Diplomats representing the government of Pakistan.
Also, the implications of #UkraineRussiaWar are not local but global, and prolonging of the same can be disastrous for the entire world.",1506241886285369347,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",1,0,8,0,1506238732642717701,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.5062394012061614e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'khannomi123', 'id': 989029646523133953, 'displayname': 'Noman Khattak', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/khannomi123'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'khannomi123', 'id': 989029646523133953, 'displayname': 'Noman Khattak', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/khannomi123'}]",,,['UkraineRussiaWar'],
9,snscrape.modules.twitter.Tweet,https://twitter.com/MominaMustehsan/status/1506238732642717701,2022-03-22 11:57:53+00:00,"All hopes and eyes are on #China to mediate a ceasefire in #UkraineRussiaWar, immediately STOP the loss of human lives and bring both parties to the negotiating table to find an amicable solution through diplomacy. China currently seems to have enough stakes &amp; influence to do so. https://t.co/oSXsbhXDWL","All hopes and eyes are on #China to mediate a ceasefire in #UkraineRussiaWar, immediately STOP the loss of human lives and bring both parties to the negotiating table to find an amicable solution through diplomacy. China currently seems to have enough stakes &amp; influence to do so. twitter.com/MominaMustehsa…",1506238732642717701,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}",19,42,474,4,1506238732642717701,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://twitter.com/MominaMustehsan/status/1506201481799946241'],['https://t.co/oSXsbhXDWL'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/MominaMustehsan/status/1506201481799946241', 'date': '2022-03-22T09:29:51+00:00', 'content': 'Thank you @ImranKhanPTI for highlighting the crisis in #Ukraine and for imploring @OIC_OCI members, in particular Chinese Foreign Minister #WangYi in a one-on-one with him, to figure out possible solutions to save Human Lives and the global economy from plunging #OICInPakistan', 'renderedContent': 'Thank you @ImranKhanPTI for highlighting the crisis in #Ukraine and for imploring @OIC_OCI members, in particular Chinese Foreign Minister #WangYi in a one-on-one with him, to figure out possible solutions to save Human Lives and the global economy from plunging #OICInPakistan', 'id': 1506201481799946241, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'MominaMustehsan', 'id': 135839250, 'displayname': 'Momina Mustehsan', 'description': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'rawDescription': 'Engineer | Mathematician | Musician | Social Activist BBC 100 Women, SBU 40Under40, Forbes 30Under30', 'descriptionUrls': None, 'verified': True, 'created': '2010-04-22T10:47:39+00:00', 'followersCount': 855853, 'friendsCount': 100, 'statusesCount': 1194, 'favouritesCount': 577, 'listedCount': 134, 'mediaCount': 167, 'location': 'New York | Islamabad', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505978214300393473/jTKxaW9w_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/MominaMustehsan'}, 'replyCount': 99, 'retweetCount': 1088, 'likeCount': 8185, 'quoteCount': 28, 'conversationId': 1506201481799946241, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'outlinks': None, 'tcooutlinks': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'ImranKhanPTI', 'id': 122453931, 'displayname': 'Imran Khan', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/ImranKhanPTI'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'OIC_OCI', 'id': 329562672, 'displayname': 'OIC', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/OIC_OCI'}], 'coordinates': None, 'place': None, 'hashtags': ['Ukraine', 'WangYi', 'OICInPakistan'], 'cashtags': None}",,,,,,"['China', 'UkraineRussiaWar']",
